ID,name,phoneNo,email,facebook,instagram,whatsapp,linkedin,twitter,slack,wechat,customer_ID
40,Pancake Panda,00 32 123456789,ppanda@gmail.com,PancakePanda001,PancakePanda001,PancakePanda001,PancakePanda001,PancakePanda001,PancakePanda001,PancakePanda001,1041
41,Waffle Weasel,00 32 123456789,wweasel@gmail.com,WaffleWeasel001,WaffleWeasel001,WaffleWeasel001,WaffleWeasel001,WaffleWeasel001,WaffleWeasel001,WaffleWeasel001,1042
42,Soup Seal,00 32 123456789,sseal@gmail.com,SoupSeal001,SoupSeal001,SoupSeal001,SoupSeal001,SoupSeal001,SoupSeal001,SoupSeal001,1043
43,Tiramisu Toucan,00 32 123456789,ttoucan@gmail.com,TiramisuToucan001,TiramisuToucan001,TiramisuToucan001,TiramisuToucan001,TiramisuToucan001,TiramisuToucan001,TiramisuToucan001,1044
44,Gelato Giraffe,00 32 123456789,ggiraffe@gmail.com,GelatoGiraffe001,GelatoGiraffe001,GelatoGiraffe001,GelatoGiraffe001,GelatoGiraffe001,GelatoGiraffe001,GelatoGiraffe001,1045
45,Custard Cougar,00 32 123456789,ccougar@gmail.com,CustardCougar001,CustardCougar001,CustardCougar001,CustardCougar001,CustardCougar001,CustardCougar001,CustardCougar001,1046
46,Casserole Civet,00 32 123456789,ccivet@gmail.com,CasseroleCivet001,CasseroleCivet001,CasseroleCivet001,CasseroleCivet001,CasseroleCivet001,CasseroleCivet001,CasseroleCivet001,1047
47,Gumbo Goat,00 32 123456789,ggoat@gmail.com,GumboGoat001,GumboGoat001,GumboGoat001,GumboGoat001,GumboGoat001,GumboGoat001,GumboGoat001,1048
48,Donut Duck,00 32 123456789,dduck@gmail.com,DonutDuck001,DonutDuck001,DonutDuck001,DonutDuck001,DonutDuck001,DonutDuck001,DonutDuck001,1049
49,Kebab Kangaroo,00 32 123456789,kkangaroo@gmail.com,KebabKangaroo001,KebabKangaroo001,KebabKangaroo001,KebabKangaroo001,KebabKangaroo001,KebabKangaroo001,KebabKangaroo001,1050
50,Crepes Cheetah,00 32 123456789,ccheetah@gmail.com,CrepesCheetah001,CrepesCheetah001,CrepesCheetah001,CrepesCheetah001,CrepesCheetah001,CrepesCheetah001,CrepesCheetah001,1051
51,Stroganoff Squirrel,00 32 123456789,ssquirrel@gmail.com,StroganoffSquirrel001,StroganoffSquirrel001,StroganoffSquirrel001,StroganoffSquirrel001,StroganoffSquirrel001,StroganoffSquirrel001,StroganoffSquirrel001,1052
52,Paella Porcupine,00 32 123456789,pporcupine@gmail.com,PaellaPorcupine001,PaellaPorcupine001,PaellaPorcupine001,PaellaPorcupine001,PaellaPorcupine001,PaellaPorcupine001,PaellaPorcupine001,1053
53,Risotto Raccoon,00 32 123456789,rraccoon@gmail.com,RisottoRaccoon001,RisottoRaccoon001,RisottoRaccoon001,RisottoRaccoon001,RisottoRaccoon001,RisottoRaccoon001,RisottoRaccoon001,1054
54,Pavlova Puma,00 32 123456789,ppuma@gmail.com,PavlovaPuma001,PavlovaPuma001,PavlovaPuma001,PavlovaPuma001,PavlovaPuma001,PavlovaPuma001,PavlovaPuma001,1055
55,Frittata Flamingo,00 32 123456789,fflamingo@gmail.com,FrittataFlamingo001,FrittataFlamingo001,FrittataFlamingo001,FrittataFlamingo001,FrittataFlamingo001,FrittataFlamingo001,FrittataFlamingo001,1056
56,Teriyaki Tortoise,00 32 123456789,ttortoise@gmail.com,TeriyakiTortoise001,TeriyakiTortoise001,TeriyakiTortoise001,TeriyakiTortoise001,TeriyakiTortoise001,TeriyakiTortoise001,TeriyakiTortoise001,1057
57,Taco Tiger,00 32 123456789,ttiger@gmail.com,TacoTiger001,TacoTiger001,TacoTiger001,TacoTiger001,TacoTiger001,TacoTiger001,TacoTiger001,1058
58,Cobbler Coyote,00 32 123456789,ccoyote@gmail.com,CobblerCoyote001,CobblerCoyote001,CobblerCoyote001,CobblerCoyote001,CobblerCoyote001,CobblerCoyote001,CobblerCoyote001,1059
59,Marinade Mole,00 32 123456789,mmole@gmail.com,MarinadeMole001,MarinadeMole001,MarinadeMole001,MarinadeMole001,MarinadeMole001,MarinadeMole001,MarinadeMole001,1060
60,Sorbet Swan,00 32 123456789,sswan@gmail.com,SorbetSwan001,SorbetSwan001,SorbetSwan001,SorbetSwan001,SorbetSwan001,SorbetSwan001,SorbetSwan001,1061
61,Crisps Cockatoo,00 32 123456789,ccockatoo@gmail.com,CrispsCockatoo001,CrispsCockatoo001,CrispsCockatoo001,CrispsCockatoo001,CrispsCockatoo001,CrispsCockatoo001,CrispsCockatoo001,1062
62,Souffle Skunk,00 32 123456789,sskunk@gmail.com,SouffleSkunk001,SouffleSkunk001,SouffleSkunk001,SouffleSkunk001,SouffleSkunk001,SouffleSkunk001,SouffleSkunk001,1063
63,Cannelloni Crow,00 32 123456789,ccrow@gmail.com,CannelloniCrow001,CannelloniCrow001,CannelloniCrow001,CannelloniCrow001,CannelloniCrow001,CannelloniCrow001,CannelloniCrow001,1064
64,StirFry Sheep,00 32 123456789,ssheep@gmail.com,StirFrySheep001,StirFrySheep001,StirFrySheep001,StirFrySheep001,StirFrySheep001,StirFrySheep001,StirFrySheep001,1065
65,Gratin Gazelle,00 32 123456789,ggazelle@gmail.com,GratinGazelle001,GratinGazelle001,GratinGazelle001,GratinGazelle001,GratinGazelle001,GratinGazelle001,GratinGazelle001,1066
